racetrack,country,continent,length,length_type,track_type,race_name,organizer,race_rank,race_type,race_special,latitude,longitude
Belmont,Australia,Oceania,1600,Mile,Turf,Hyperion Stakes,ARB,3,G3,,-31.9436,115.891
Belmont,Australia,Oceania,2000,Medium,Turf,Strickland Stakes,ARB,3,G3,,-31.9436,115.891
Belmont,Australia,Oceania,1400,Sprint,Turf,Ranconteur Stakes,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1600,Mile,Turf,Belmont Guineas,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1000,Sprint,Turf,Beaufine Stakes,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1200,Sprint,Turf,HG Bolton Sprint,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,2200,Medium,Turf,Belmont Classic,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1200,Sprint,Turf,Belmont Newmarket,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1300,Sprint,Turf,Idyllic Prince Stakes,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1400,Sprint,Turf,Farnley Stakes,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,2000,Medium,Turf,Belmont Oaks,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,2000,Medium,Turf,Aquanita Stakes,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1000,Sprint,Turf,Morley Growers Market Handicap,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1200,Sprint,Turf,Glenroy Chaff Handicap,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1200,Sprint,Turf,WA Racehorse Owners Association Handicap,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1300,Sprint,Turf,Schweppes Handicap,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1400,Sprint,Turf,MCA Polytrack Plate,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1400,Sprint,Turf,MCA Polytrack Handicap,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,1600,Mile,Turf,Perth Racing Now Hiring Staff Handicap,ARB,4,Local,,-31.9436,115.891
